,Name,Artist,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,year
3371,Waiting For Superman,Daughtry,0.00283,0.5565,267146.5,0.6745,0,0,0,0.06515,1.015034444,1,0.0267,105.989,0.3925,2013
3372,Waiting For The End,Linkin Park,0.0415,0.487,231680,0.961,0,1.15E-06,4,0.553,1.015516944,1,0.132,170.005,0.323,2010
3373,Waiting For Tonight,Jennifer Lopez,0.002825,0.6945,246467,0.943,0,0.07765,10,0.106,1.014962083,0,0.0413,125.0135,0.847,1999
3374,Waiting On The World To Change,John Mayer,0.159,0.577,201173,0.756,0,0.000232,2,0.249,1.01505,1,0.115,176.75,0.663,2006
3375,Wake Me Up When September Ends,Green Day,0.023,0.546,285653,0.814,0,0,7,0.0972,1.015237222,1,0.0314,104.98,0.146,2004
3376,Wake Up,Fetty Wap,0.172,0.647,224000,0.673,1,0,5,0.223,1.015002222,1,0.176,179.971,0.527,2016
3377,Wake Up,Hilary Duff,0.0622,0.63,217667,0.825,0,1.58E-06,4,0.215,1.015365833,1,0.0447,120.829,0.285,2005
3378,Wake Up Call,Maroon 5,0.0302,0.632,201307,0.949,0,0,4,0.0871,1.015924722,0,0.0593,164.118,0.969,2007
3379,Wake Up In The Sky,"Gucci Mane, Bruno Mars, Kodak Black",0.00381,0.799666667,203662.3333,0.578333333,1,0,4,0.364333333,1.015237778,0,0.048566667,143.0023333,0.365666667,2018
3380,Wake Up Lovin' You,Craig Morgan,0.362,0.538,198840,0.652,0,6.03E-06,8,0.083,1.015688611,1,0.0308,75.028,0.515,2013
3381,Waking Up In Vegas,Katy Perry,0.0012,0.524,199187,0.878,0,0,5,0.098,1.015803333,0,0.0346,130.989,0.59,2008
3382,Walk,Foo Fighters,3.62E-05,0.234,255960,0.865,0,0.000532,9,0.289,1.015241389,1,0.0516,137.107,0.194,2011
3383,Walk A Little Straighter,Billy Currington,0.391,0.555,223733,0.381,0,0,8,0.105,1.01432,1,0.0263,131.836,0.174,2003
3384,Walk Away,Kelly Clarkson,0.0147,0.75,189307,0.888,0,1.11E-06,0,0.0759,1.01541,1,0.0426,115.973,0.935,2004
3385,Walk It Out,Unk,0.0982,0.794,173040,0.777,1,0,1,0.202,1.01564,0,0.0813,160.022,0.706,2006
3386,Walk Me Home,P!Nk,0.0519,0.652,177391,0.453,0,0,1,0.179,1.014966944,1,0.0445,88.038,0.432,2019
3387,Walked Outta Heaven,Jagged Edge,0.573,0.67,270880,0.616,0,0,10,0.0535,1.014965833,1,0.225,120.129,0.523,2003
3388,Walking,Mary Mary,0.134,0.757,201300,0.5385,0,0.000319,6,0.12215,1.014885556,0,0.113,100.088,0.596,2000
3389,Walking Away,Craig David,0.196,0.596,204867,0.686,0,0,9,0.121,1.014896944,0,0.0345,172.835,0.815,2000
3390,Walking In Memphis,Lonestar,0.232,0.6565,243413,0.76,0,0,0,0.149,1.015215278,1,0.0317,129.002,0.5745,2003
3391,Walking On A Dream,Empire Of The Sun,0.249,0.870333333,198440,0.699666667,0,7.01E-06,5,0.058833333,1.015122593,0,0.045866667,126.9696667,0.722666667,2008
