,Name,Artist,Weeks.on.chart,Peak.position
296,Respect,Aretha Franklin,12.0,1.0
297,Respect Yourself,The Staple Singers,14.0,12.0
298,Ring Of Fire,Johnny Cash,13.0,17.0
299,River Deep - Mountain High,"Ike, Tina Turner",4.0,88.0
300,Roadrunner,The Modern Lovers,,
301,Rocket Man,Elton John,15.0,6.0
302,Rockin' In The Free World,Neil Young,,
303,Roll Over Beethoven,Chuck Berry,5.0,29.0
304,Rollin' Stone,Muddy Waters,,
305,Roxanne,The Police,13.0,32.0
306,Ruby Tuesday,The Rolling Stones,12.0,1.0
307,Runaround Sue,Dion,14.0,1.0
308,Runaway,Del Shannon,17.0,1.0
309,Running On Empty,Jackson Browne,17.0,11.0
310,Sabotage,Beastie Boys,,
311,Sail Away,Randy Newman,,
312,Save The Last Dance For Me,The Drifters,18.0,1.0
313,Say It Loud - I'M Black And I'M Proud,James Brown,11.0,10.0
314,School'S Out,Alice Cooper,13.0,7.0
315,September Gurls,Big Star,,
316,Seven Nation Army,The White Stripes,,
317,Sexual Healing,Marvin Gaye,21.0,3.0
318,She Loves You,The Beatles,15.0,1.0
319,She'S Not There,The Zombies,15.0,2.0
320,Sheena Is A Punk Rocker,Ramones,13.0,81.0
321,Shop Around,"Smokey Robinson, The Miracles",16.0,2.0
322,Should I Stay Or Should I Go,The Clash,13.0,45.0
323,Sign 'O' The Times,Prince,14.0,3.0
324,Since U Been Gone,Kelly Clarkson,46.0,2.0
325,Sloop John B,The Beach Boys,11.0,3.0
326,Smells Like Teen Spirit,Nirvana,20.0,6.0
327,Smoke On The Water,Deep Purple,16.0,4.0
328,Smokestack Lightning,Howlin' Wolf,,
329,Somebody To Love,Jefferson Airplane,15.0,5.0
330,Something,The Beatles,16.0,3.0
331,Son Of A Preacher Man,Dusty Springfield,12.0,10.0
332,Soul Man,"Sam, Dave",15.0,2.0
333,Spanish Harlem,Ben E. King,16.0,10.0
334,Spirit In The Sky,Norman Greenbaum,15.0,3.0
335,Spoonful,Howlin' Wolf,,
336,Stairway To Heaven,Led Zeppelin,,
337,Stan,"Eminem, Dido",15.0,51.0
338,Stand!,"Sly, The Family Stone",8.0,22.0
339,Standing In The Shadows Of Love,The Four Tops,10.0,6.0
340,Stayin Alive,Bee Gees,27.0,1.0
341,Stills And Nash,Crosby,12.0,21.0
342,Strawberry Fields Forever,The Beatles,9.0,8.0
343,Street Fighting Man,The Rolling Stones,6.0,48.0
344,Subterranean Homesick Blues,Bob Dylan,8.0,39.0
345,Summer Babe (Winter Version),Pavement,,
346,Summer In The City,The Lovin' Spoonful,11.0,1.0
347,Summertime Blues,Eddie Cochran,16.0,8.0
348,Sunday Bloody Sunday,U2,,
349,Sunshine Of Your Love,Cream,26.0,5.0
350,Super Freak,Rick James,24.0,16.0
351,Superstition,Stevie Wonder,16.0,1.0
352,Surrender,Cheap Trick,8.0,62.0
353,Surrender,U2,,
354,Suspicious Minds,Elvis Presley,15.0,1.0
355,Sweet Child O' Mine,Guns N' Roses,24.0,1.0
356,Sweet Dreams (Are Made Of This),Eurythmics,26.0,1.0
357,Sweet Emotion,Aerosmith,8.0,36.0
358,Sweet Home Alabama,Lynyrd Skynyrd,17.0,8.0
359,Sweet Jane,The Velvet Underground,,
360,Sweet Little Sixteen,Chuck Berry,16.0,2.0
361,Sympathy For The Devil,The Rolling Stones,,
362,Take Me Out,Franz Ferdinand,19.0,66.0
363,Tangled Up In Blue,Bob Dylan,7.0,31.0
364,Teach Your Children,"Crosby, Stills, Nash, Young",9.0,14.0
365,Tears In Heaven,Eric Clapton,26.0,2.0
366,Tell It Like It Is,Aaron Neville,14.0,2.0
367,Thank You (Falettinme Be Mice Elf Agin),"Sly, The Family Stone",13.0,1.0
368,"That Lady, Pts. 1 & 2",The Isley Brothers,20.0,6.0
369,That'Ll Be The Day,Buddy Holly,1.0,1.0
