,Name,Artist,Weeks.on.chart,Peak.position
293,Redemption Song,"Bob Marley, The Wailers",,
294,Rehab,Amy Winehouse,20,9
295,Remember (Walkin' In The Sand),The Shangri-Las,11,5
296,Respect,Aretha Franklin,12,1
297,Respect Yourself,The Staple Singers,14,12
298,Ring Of Fire,Johnny Cash,13,17
299,River Deep - Mountain High,"Ike, Tina Turner",4,88
300,Roadrunner,The Modern Lovers,,
301,Rocket Man,Elton John,15,6
302,Rockin' In The Free World,Neil Young,,
303,Roll Over Beethoven,Chuck Berry,5,29
304,Rollin' Stone,Muddy Waters,,
305,Roxanne,The Police,13,32
306,Ruby Tuesday,The Rolling Stones,12,1
307,Runaround Sue,Dion,14,1
308,Runaway,Del Shannon,17,1
309,Running On Empty,Jackson Browne,17,11
310,Sabotage,Beastie Boys,,
311,Sail Away,Randy Newman,,
312,Save The Last Dance For Me,The Drifters,18,1
313,Say It Loud - I'M Black And I'M Proud,James Brown,11,10
314,School'S Out,Alice Cooper,13,7
315,September Gurls,Big Star,,
316,Seven Nation Army,The White Stripes,,
317,Sexual Healing,Marvin Gaye,21,3
318,She Loves You,The Beatles,15,1
319,She'S Not There,The Zombies,15,2
320,Sheena Is A Punk Rocker,Ramones,13,81
321,Shop Around,"Smokey Robinson, The Miracles",16,2
322,Should I Stay Or Should I Go,The Clash,13,45
323,Sign 'O' The Times,Prince,14,3
324,Since U Been Gone,Kelly Clarkson,46,2
325,Sloop John B,The Beach Boys,11,3
326,Smells Like Teen Spirit,Nirvana,20,6
327,Smoke On The Water,Deep Purple,16,4
328,Smokestack Lightning,Howlin' Wolf,,
329,Somebody To Love,Jefferson Airplane,15,5
330,Something,The Beatles,16,3
331,Son Of A Preacher Man,Dusty Springfield,12,10
332,Soul Man,"Sam, Dave",15,2
333,Spanish Harlem,Ben E. King,16,10
334,Spirit In The Sky,Norman Greenbaum,15,3
335,Spoonful,Howlin' Wolf,,
336,Stairway To Heaven,Led Zeppelin,,
337,Stan,"Eminem, Dido",15,51
338,Stand!,"Sly, The Family Stone",8,22
339,Standing In The Shadows Of Love,The Four Tops,10,6
340,Stayin Alive,Bee Gees,27,1
341,Stills And Nash,Crosby,12,21
342,Strawberry Fields Forever,The Beatles,9,8
343,Street Fighting Man,The Rolling Stones,6,48
344,Subterranean Homesick Blues,Bob Dylan,8,39
345,Summer Babe (Winter Version),Pavement,,
346,Summer In The City,The Lovin' Spoonful,11,1
347,Summertime Blues,Eddie Cochran,16,8
348,Sunday Bloody Sunday,U2,,
349,Sunshine Of Your Love,Cream,26,5
350,Super Freak,Rick James,24,16
351,Superstition,Stevie Wonder,16,1
352,Surrender,Cheap Trick,8,62
353,Surrender,U2,,
354,Suspicious Minds,Elvis Presley,15,1
355,Sweet Child O' Mine,Guns N' Roses,24,1
356,Sweet Dreams (Are Made Of This),Eurythmics,26,1
357,Sweet Emotion,Aerosmith,8,36
358,Sweet Home Alabama,Lynyrd Skynyrd,17,8
359,Sweet Jane,The Velvet Underground,,
360,Sweet Little Sixteen,Chuck Berry,16,2
361,Sympathy For The Devil,The Rolling Stones,,
362,Take Me Out,Franz Ferdinand,19,66
363,Tangled Up In Blue,Bob Dylan,7,31
364,Teach Your Children,"Crosby, Stills, Nash, Young",9,14
365,Tears In Heaven,Eric Clapton,26,2
366,Tell It Like It Is,Aaron Neville,14,2
367,Thank You (Falettinme Be Mice Elf Agin),"Sly, The Family Stone",13,1
368,"That Lady, Pts. 1 & 2",The Isley Brothers,20,6
369,That'Ll Be The Day,Buddy Holly,1,1
370,That'S Entertainment,The Jam,,
371,The Boys Of Summer,Don Henley,22,5
372,The End,The Doors,,
373,The Girl Can'T Help It,Little Richard,8,49
374,The Great Pretender,The Platters,24,1
375,The Harder They Come,Jimmy Cliff,,
376,The Letter,The Box Tops,16,1
377,The Loco-Motion,Little Eva,16,1
378,The Message,"Grandmaster Flash, The Furious Five",7,62
379,The Night They Drove Old Dixie Down,The Band,,
380,The Rising,Bruce Springsteen,11,52
381,The Sounds Of Silence,"Simon, Garfunkel",14,1
382,The Thrill Is Gone,B.B. King,14,15
