,Name,Artist,Weeks.on.chart,Peak.position
330,Better Life,Keith Urban,20,44
331,Better Man,Little Big Town,20,34
332,Better Now,Post Malone,52,3
333,Better Than I Used To Be,Tim Mcgraw,20,52
334,Better Than Me,Hinder,20,31
336,Beverly Hills,Weezer,43,10
337,Bickenhead,Cardi B,2,43
338,Big Green Tractor,Jason Aldean,20,18
340,Big Ole Freak,Megan Thee Stallion,12,65
341,Big Rings,"Drake, Future",20,52
342,Big Star,Kenny Chesney,20,28
343,Bigger Than My Body,John Mayer,20,33
345,Billie Jean,Michael Jackson,25,1
346,Bills,Lunchmoney Lewis,6,79
347,Billy,6Ix9Ine,8,50
348,Birthday,Katy Perry,18,17
349,Birthday Cake,Rihanna,20,24
350,Birthday Sex,Jeremih,20,4
351,Black,Dierks Bentley,19,56
352,Black And Yellow,Wiz Khalifa,25,1
353,Black Magic,Little Mix,8,67
354,Black Skinhead,Kanye West,4,69
355,Blackout,Breathe Carolina,20,32
356,Blame It On Me,Post Malone,2,47
358,Blank Space,Taylor Swift,36,1
359,Bleed It Out,Linkin Park,20,52
360,Bleeding Love,Leona Lewis,39,1
361,Blem,Drake,4,38
362,Bless The Broken Road,Rascal Flatts,20,29
363,Blood On The Leaves,Kanye West,2,89
365,Bloodline,Ariana Grande,3,22
367,Blown Away,Carrie Underwood,22,20
368,Blue Ain'T Your Color,Keith Urban,21,24
372,Blue Orchid,The White Stripes,7,43
373,Blue Tacoma,Russell Dickerson,19,52
374,Blue Tint,Drake,3,30
375,Blunt Blowin,Lil Wayne,6,33
376,Blurry,Puddle Of Mudd,38,5
377,Bobby Bitch,Bobby Shmurda,3,92
378,Bodak Yellow,Cardi B,35,1
380,Body Language,Jesse Mccartney,15,35
381,Body Like A Back Road,Sam Hunt,41,6
382,Body Party,Ciara,20,22
385,Bohemian Rhapsody,Queen,44,2
387,Bonfire,Craig Morgan,14,57
388,Boo'D Up,Ella Mai,35,5
389,Boom Clap,Charli Xcx,25,8
390,Boondocks,Little Big Town,20,46
391,Boots On,Randy Houser,19,53
392,Booty,Blac Youngsta,5,73
393,Born This Way,Lady Gaga,20,1
394,Born To Be Yours,"Kygo, Imagine Dragons",2,74
395,Born To Fly,Sara Evans,20,34
396,Boston,Augustana,24,34
397,Bother,Stone Sour,20,56
398,Bottoms Up,Brantley Gilbert,25,20
399,Boulevard Of Broken Dreams,Green Day,36,2
400,Bounce Back,Big Sean,28,6
401,Bound 2,Kanye West,6,12
403,Boyfriend,Ashlee Simpson,20,19
404,Boyfriend,Big Time Rush,11,72
405,Boyfriend,Justin Bieber,20,2
406,Boyfriend #2,Pleasure P,18,42
408,Brand New,Ben Rector,5,82
409,Brand New Girlfriend,Steve Holy,20,40
410,Brave,Sara Bareilles,42,23
411,Break,Three Days Grace,20,73
412,Break Down Here,Julie Roberts,12,81
413,Break It Off,"Rihanna, Sean Paul",20,9
414,Break The Ice,Britney Spears,17,43
415,Break The Rules,Charli Xcx,3,91
416,Break Up,Mario,23,14
417,Break Up In A Small Town,Sam Hunt,20,29
418,Break Up In The End,Cole Swindell,17,49
419,Break Up With Him,Old Dominion,20,44
420,"Break Up With Your Girlfriend, I'M Bored",Ariana Grande,20,2
421,Break Ya Neck,Busta Rhymes,20,26
422,Breakaway,Kelly Clarkson,46,6
423,Breakeven,The Script,43,12
424,Breaking The Habit,Linkin Park,20,20
425,Breath,Breaking Benjamin,7,84
426,Breathe,Fabolous,20,10
427,Breathe,Faith Hill,53,2
428,Breathe,Michelle Branch,18,36
429,Breathin,Ariana Grande,25,12
430,Breathless,The Corrs,20,34
431,Bright,Echosmith,20,40
432,Bright Lights,Matchbox Twenty,21,23
433,Brighter Than The Sun,Colbie Caillat,25,47
434,Bring Em Out,T.I.,21,9
435,Bring It Back,Travis Porter,10,75
436,Bring It On Home,Little Big Town,18,58
437,Bring Me To Life,Evanescence,32,5
438,Broken,Lifehouse,15,83
439,Broken,Lovelytheband,22,29
440,Broken,Seether,21,20
441,Broken Halos,Chris Stapleton,20,45
442,Brokenhearted,Karmin,22,16
443,Brokenheartsville,Joe Nichols,20,27
444,Brotha,Angie Stone,20,52
445,Bubbly,Colbie Caillat,47,5
446,Budapest,George Ezra,23,32
447,Bulletproof,La Roux,27,8
448,Bullets In The Gun,Toby Keith,14,83
449,Bully,Shinedown,2,94
450,Burn,Ellie Goulding,36,13
451,Burn,Jo Dee Messina,20,42
452,Burn,Usher,30,1
453,Burn It Down,Linkin Park,23,30
454,Burn Out,Midland,9,63
456,Burnin' It Down,Jason Aldean,20,12
457,Burnin' Up,Jonas Brothers,16,5
458,Burning House,Cam,25,29
459,Bury A Friend,Billie Eilish,20,14
460,Bust Your Windows,Jazmine Sullivan,15,31
461,But For The Grace Of God,Keith Urban,20,37
462,Butterflies,Michael Jackson,20,14
463,Butterfly,Crazy Town,23,1
464,Butterfly Fly Away,"Miley Cyrus, Billy Ray Cyrus",3,56
465,Buttons,The Pussycat Dolls,30,3
466,Buy Me A Boat,Chris Janson,20,41
467,By The Way,Red Hot Chili Peppers,20,34
468,By Your Side,Sade,11,75
469,Bye Bye,Mariah Carey,12,19
470,Cake By The Ocean,Dnce,46,9
471,California King Bed,Rihanna,14,37
472,Californication,Red Hot Chili Peppers,19,69
473,Call It What You Want,Taylor Swift,2,27
474,Call Me,Tweet,19,31
